0.326379,0.341600,0.333160,0.334203,0.337565,0.329019,0.341944,0.333933,0.324341,0.337371,0.342742,0.319963,0.333305,0.351464,0.316276,0.329121,0.346256,0.324905,
0.325616,0.340669,0.333767,0.333426,0.336652,0.329624,0.341140,0.333048,0.324934,0.336579,0.341838,0.320553,0.332540,0.350539,0.316865,0.328397,0.345371,0.325513,
0.324944,0.339840,0.334365,0.332740,0.335838,0.330220,0.340429,0.332259,0.325517,0.335876,0.341033,0.321132,0.331862,0.349714,0.317442,0.327757,0.344580,0.326108,
0.324351,0.339100,0.334949,0.332134,0.335111,0.330801,0.339797,0.331555,0.326086,0.335252,0.340313,0.321696,0.331260,0.348975,0.318004,0.327189,0.343872,0.326685,
0.323825,0.338437,0.335516,0.331597,0.334459,0.331366,0.339235,0.330925,0.326636,0.334695,0.339669,0.322241,0.330725,0.348311,0.318547,0.326685,0.343235,0.327244,
0.323359,0.337842,0.336064,0.331120,0.333873,0.331910,0.338734,0.330360,0.327166,0.334198,0.339090,0.322766,0.330247,0.347714,0.319069,0.326236,0.342662,0.327780,
0.322945,0.337305,0.336591,0.330696,0.333345,0.332432,0.338286,0.329851,0.327674,0.333753,0.338569,0.323268,0.329821,0.347175,0.319570,0.325836,0.342144,0.328294,
0.322576,0.336820,0.337094,0.330317,0.332868,0.332932,0.337885,0.329392,0.328160,0.333353,0.338099,0.323748,0.329439,0.346688,0.320048,0.325478,0.341676,0.328784,
0.322247,0.336381,0.337574,0.329980,0.332435,0.333409,0.337524,0.328978,0.328621,0.332994,0.337675,0.324204,0.329096,0.346245,0.320503,0.325158,0.341250,0.329251,
0.321954,0.335983,0.338031,0.329679,0.332042,0.333862,0.337200,0.328603,0.329060,0.332670,0.337290,0.324637,0.328788,0.345844,0.320935,0.324871,0.340863,0.329693,
0.321692,0.335620,0.338464,0.329409,0.331684,0.334292,0.336908,0.328262,0.329475,0.332377,0.336941,0.325047,0.328511,0.345477,0.321345,0.324614,0.340510,0.330113,
0.321457,0.335289,0.338874,0.329167,0.331357,0.334698,0.336644,0.327953,0.329867,0.332112,0.336623,0.325434,0.328261,0.345143,0.321732,0.324383,0.340187,0.330509,
0.321247,0.334986,0.339261,0.328951,0.331058,0.335082,0.336405,0.327670,0.330237,0.331872,0.336334,0.325798,0.328036,0.344837,0.322097,0.324175,0.339892,0.330883,
0.321059,0.334708,0.339626,0.328757,0.330784,0.335445,0.336189,0.327413,0.330585,0.331655,0.336070,0.326141,0.327833,0.344557,0.322441,0.323989,0.339620,0.331235,
0.320891,0.334453,0.339969,0.328583,0.330532,0.335786,0.335993,0.327178,0.330912,0.331456,0.335829,0.326463,0.327649,0.344300,0.322765,0.323821,0.339371,0.331567,
0.320740,0.334219,0.340292,0.328427,0.330300,0.336107,0.335815,0.326963,0.331219,0.331276,0.335609,0.326766,0.327483,0.344063,0.323070,0.323670,0.339141,0.331879,
0.320605,0.334002,0.340595,0.328288,0.330086,0.336408,0.335654,0.326765,0.331507,0.331112,0.335407,0.327049,0.327333,0.343845,0.323356,0.323535,0.338928,0.332172,
0.320484,0.333801,0.340880,0.328163,0.329887,0.336692,0.335507,0.326584,0.331777,0.330961,0.335221,0.327314,0.327197,0.343643,0.323625,0.323413,0.338732,0.332447,
0.320377,0.333616,0.341147,0.328051,0.329704,0.336957,0.335373,0.326418,0.332029,0.330824,0.335051,0.327562,0.327074,0.343457,0.323876,0.323304,0.338549,0.332704,
0.320281,0.333444,0.341397,0.327952,0.329534,0.337206,0.335251,0.326264,0.332265,0.330699,0.334895,0.327794,0.326963,0.343285,0.324112,0.323207,0.338380,0.332946,
0.320196,0.333283,0.341631,0.327863,0.329375,0.337440,0.335140,0.326123,0.332485,0.330584,0.334751,0.328010,0.326862,0.343125,0.324333,0.323119,0.338223,0.333172,
0.320120,0.333134,0.341850,0.327785,0.329227,0.337658,0.335039,0.325993,0.332691,0.330478,0.334618,0.328212,0.326772,0.342976,0.324540,0.323041,0.338076,0.333384,
0.320054,0.332994,0.342055,0.327715,0.329089,0.337863,0.334947,0.325873,0.332882,0.330382,0.334496,0.328401,0.326690,0.342837,0.324734,0.322972,0.337939,0.333583,
